ticker,적중률,실제상승비율,평균점수,표본수
000660.KS,0.5454545454545454,0.5588842975206612,56.00765415933013,1936.0
005930.KS,0.5423553719008265,0.5609504132231405,55.914888584383306,1936.0
SNDK,0.665680473372781,0.7633136094674556,64.94986980331015,338.0
MU,0.548565676899849,0.5742325113236034,55.28608858802468,1987.0
285A.T,0.6308539944903582,0.699724517906336,63.206696599618965,363.0
